experiment_id,machine_id,architecture,source_commit,config_sha256,dataset_manifest_sha256,randomization_seed,codec_executable_sha256,measurement_method,measurement_tool_sha256,split,codec,codec_config,profile,threads,dataset_id,row_scope,original_bytes,scheduled_trials,successful_trials,status,literal_only_archive_bytes_median,pre_entropy_archive_bytes_median,entropy_saved_bytes_median,entropy_penalty_bytes_median,procedural_gain_bytes_median,procedural_penalty_bytes_median,container_overhead_bytes_median,function_graph_bytes_median,coordinate_bytes_median,shared_definition_bytes_median,reference_bytes_median,parameter_bytes_median,residual_layer_bytes_median,literal_leaf_bytes_median,entropy_metadata_bytes_median,index_bytes_median,node_count_median,shared_node_count_median,residual_depth_sum_median,residual_root_count_median,function_reconstructed_bytes_median,literal_reconstructed_bytes_median,coordinate_saved_bytes_median,dag_saved_bytes_median,recursive_residual_saved_bytes_median,symbolic_saved_bytes_median,search_ns_median,archive_bytes_median,procedural_coverage,literal_fraction,procedural_gain_before_entropy_bytes,procedural_gain_bytes,entropy_coder_gain_bytes,entropy_coder_penalty_bytes,procedural_penalty_bytes,average_residual_depth,search_time_per_saved_byte_ns,time_per_saved_byte_basis
development-interval-pruning-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,be08a05aa9a3bf9503587f79879c0032a9ef256a88134ad82994682b0ea49410,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-ablation-no-interval-functions-or-coordinate-v1,balanced,1,dev-canterbury-alice29-txt,file,152089,10,10,complete,152577,152577,78717,0,78717,0,472,8,0,0,0,0,0,73366,14,,2,0,0,0,0,152089,,,,,,73860,0,1,0,78717,78717,0,0,,3406.3676080135169,compression_wall_ns
development-interval-pruning-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,be08a05aa9a3bf9503587f79879c0032a9ef256a88134ad82994682b0ea49410,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-ablation-no-interval-functions-or-coordinate-v1,balanced,1,dev-canterbury-kennedy-xls,file,1029744,10,10,complete,1030232,1030232,786254,0,786254,0,472,8,0,0,0,0,0,243484,14,,2,0,0,0,0,1029744,,,,,,243978,0,1,0,786254,786254,0,0,,1080.7967361692276,compression_wall_ns
development-interval-pruning-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,be08a05aa9a3bf9503587f79879c0032a9ef256a88134ad82994682b0ea49410,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-ablation-no-interval-functions-or-coordinate-v1,balanced,1,dev-silesia-x-ray,file,8474240,10,10,complete,8476584,8476584,1675085,0,1675085,0,2200,72,0,0,0,0,0,6799101,126,,18,0,0,0,0,8474240,,,,,,6801499,0,1,0,1675085,1675085,0,0,,7821.4395087413477,compression_wall_ns
development-interval-pruning-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,be08a05aa9a3bf9503587f79879c0032a9ef256a88134ad82994682b0ea49410,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-ablation-no-interval-functions-or-coordinate-v1,balanced,1,dev-synthetic-constant-00,file,65536,10,10,complete,66024,485,0,0,65539,0,472,13,0,0,0,0,0,0,0,,2,0,0,0,65536,0,,,,,,485,1,0,65539,65539,0,0,0,,527.52159782724789,compression_wall_ns
development-interval-pruning-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,be08a05aa9a3bf9503587f79879c0032a9ef256a88134ad82994682b0ea49410,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-ablation-no-interval-functions-or-coordinate-v1,balanced,1,dev-synthetic-lfsr8,file,65536,10,10,complete,66024,66024,65271,0,65271,0,472,7,0,0,0,0,0,262,12,,2,0,0,0,0,65536,,,,,,753,0,1,0,65271,65271,0,0,,543.77928942409335,compression_wall_ns
development-interval-pruning-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,be08a05aa9a3bf9503587f79879c0032a9ef256a88134ad82994682b0ea49410,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-ablation-no-interval-functions-or-coordinate-v1,balanced,1,dev-synthetic-linear,file,65536,10,10,complete,66024,489,0,0,65535,0,472,17,0,0,0,0,0,0,0,,2,0,0,0,65536,0,,,,,,489,1,0,65535,65535,0,0,0,,522.49160753795684,compression_wall_ns
development-interval-pruning-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,be08a05aa9a3bf9503587f79879c0032a9ef256a88134ad82994682b0ea49410,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-ablation-no-interval-functions-or-coordinate-v1,balanced,1,dev-synthetic-periodic,file,65536,10,10,complete,66024,494,0,0,65530,0,472,22,0,0,0,0,0,0,0,,2,0,0,0,65536,0,,,,,,494,1,0,65530,65530,0,0,0,,520.11221577903245,compression_wall_ns
development-interval-pruning-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,be08a05aa9a3bf9503587f79879c0032a9ef256a88134ad82994682b0ea49410,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-ablation-no-interval-functions-or-coordinate-v1,balanced,1,dev-synthetic-piecewise-mixed,file,65536,10,10,complete,66024,66024,52821,0,52821,0,472,7,0,0,0,0,0,12712,12,,2,0,0,0,0,65536,,,,,,13203,0,1,0,52821,52821,0,0,,640.74002764052182,compression_wall_ns
development-interval-pruning-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,be08a05aa9a3bf9503587f79879c0032a9ef256a88134ad82994682b0ea49410,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-ablation-no-interval-functions-or-coordinate-v1,balanced,1,dev-synthetic-polynomial-d2,file,65536,10,10,complete,66024,66024,65270,0,65270,0,472,7,0,0,0,0,0,263,12,,2,0,0,0,0,65536,,,,,,754,0,1,0,65270,65270,0,0,,522.95592155661097,compression_wall_ns
development-interval-pruning-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,be08a05aa9a3bf9503587f79879c0032a9ef256a88134ad82994682b0ea49410,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-ablation-no-interval-functions-or-coordinate-v1,balanced,1,dev-synthetic-recurrence,file,65536,10,10,complete,66024,66024,65142,0,65142,0,472,7,0,0,0,0,0,391,12,,2,0,0,0,0,65536,,,,,,882,0,1,0,65142,65142,0,0,,516.75628626692458,compression_wall_ns
development-interval-pruning-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,be08a05aa9a3bf9503587f79879c0032a9ef256a88134ad82994682b0ea49410,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-ablation-no-interval-functions-or-coordinate-v1,balanced,1,__aggregate__,corpus,10114825,100,100,complete,10121561,9924957,2788560,0,2985164,0,6448,168,0,0,0,0,0,7129579,202,,36,0,0,0,196608,9918217,,,,,,7136397,0.019437607669930027,0.98056239233006992,196604,2985164,2788560,0,0,,4843.7964857207171,compression_wall_ns
development-interval-pruning-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,d2bdf155e2ca61aec8e4606a339cbf55d98ca3a3f7fc409c66689d081442d088,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-v1,balanced,1,dev-canterbury-alice29-txt,file,152089,10,10,complete,152577,152577,78717,0,78717,0,472,8,0,0,0,0,0,73366,14,,2,0,0,0,0,152089,,,,,,73860,0,1,0,78717,78717,0,0,,14964.177286990103,compression_wall_ns
development-interval-pruning-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,d2bdf155e2ca61aec8e4606a339cbf55d98ca3a3f7fc409c66689d081442d088,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-v1,balanced,1,dev-canterbury-kennedy-xls,file,1029744,10,10,complete,1030232,1030232,786254,0,786254,0,472,8,0,0,0,0,0,243484,14,,2,0,0,0,0,1029744,,,,,,243978,0,1,0,786254,786254,0,0,,1552.5900911155936,compression_wall_ns
development-interval-pruning-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,d2bdf155e2ca61aec8e4606a339cbf55d98ca3a3f7fc409c66689d081442d088,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-v1,balanced,1,dev-silesia-x-ray,file,8474240,10,10,complete,8476584,8476584,1675085,0,1675085,0,2200,72,0,0,0,0,0,6799101,126,,18,0,0,0,0,8474240,,,,,,6801499,0,1,0,1675085,1675085,0,0,,9889.388775196483,compression_wall_ns
development-interval-pruning-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,d2bdf155e2ca61aec8e4606a339cbf55d98ca3a3f7fc409c66689d081442d088,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-v1,balanced,1,dev-synthetic-constant-00,file,65536,10,10,complete,66024,485,0,0,65539,0,472,13,0,0,0,0,0,0,0,,2,0,0,0,65536,0,,,,,,485,1,0,65539,65539,0,0,0,,3305.4214360914875,compression_wall_ns
development-interval-pruning-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,d2bdf155e2ca61aec8e4606a339cbf55d98ca3a3f7fc409c66689d081442d088,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-v1,balanced,1,dev-synthetic-lfsr8,file,65536,10,10,complete,66024,66024,65271,0,65271,0,472,7,0,0,0,0,0,262,12,,2,0,0,0,0,65536,,,,,,753,0,1,0,65271,65271,0,0,,4087.6750317905348,compression_wall_ns
development-interval-pruning-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,d2bdf155e2ca61aec8e4606a339cbf55d98ca3a3f7fc409c66689d081442d088,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-v1,balanced,1,dev-synthetic-linear,file,65536,10,10,complete,66024,489,0,0,65535,0,472,17,0,0,0,0,0,0,0,,2,0,0,0,65536,0,,,,,,489,1,0,65535,65535,0,0,0,,4078.2071946288243,compression_wall_ns
development-interval-pruning-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,d2bdf155e2ca61aec8e4606a339cbf55d98ca3a3f7fc409c66689d081442d088,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-v1,balanced,1,dev-synthetic-periodic,file,65536,10,10,complete,66024,494,0,0,65530,0,472,22,0,0,0,0,0,0,0,,2,0,0,0,65536,0,,,,,,494,1,0,65530,65530,0,0,0,,3318.7842667480545,compression_wall_ns
development-interval-pruning-v1,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,d2bdf155e2ca61aec8e4606a339cbf55d98ca3a3f7fc409c66689d081442d088,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,f34cbf81c47c66fecac13d75955caafded801247f78cb4c1fd03b9582be2bed4,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-v1,balanced,1,dev-synthetic-piecewise-mixed,file,65536,10,10,complete,66024,66024,52821,0,52821,0,472,7,0,0,0,0,0,12712,12,,2,0,0,0,0,65536,,,,,,13203,0,1,0,52821,52821,0,0,,5059.6404081709925,compression_wall_ns
