evidence_scope,experiment_id,machine_id,architecture,source_commit,config_sha256,dataset_manifest_sha256,randomization_seed,codec_executable_sha256,measurement_method,measurement_tool_sha256,split,codec,codec_config,profile,threads,native_mathsvg,dataset_id,row_scope,original_bytes,scheduled_measured_trials,successful_trials,failed_trials,timeout_trials,unavailable_trials,complete_repetitions,metric_status,roundtrip_all_successes,deterministic_archive_all_successes,archive_bytes_median,archive_fraction_median,compression_ratio_median,compression_wall_ns_median,compression_cpu_ns_median,compression_cpu_wall_fraction_median,decompression_wall_ns_median,decompression_cpu_ns_median,decompression_cpu_wall_fraction_median,compression_throughput_mb_s_median,decompression_throughput_mb_s_median,peak_rss_bytes_median,compression_peak_rss_bytes_median,decompression_peak_rss_bytes_median,procedural_evidence_status,literal_only_archive_bytes_median,pre_entropy_archive_bytes_median,procedural_gain_before_entropy_bytes_median,procedural_penalty_before_entropy_bytes_median,entropy_gain_bytes_median,entropy_penalty_bytes_median,function_reconstructed_bytes_median,literal_reconstructed_bytes_median,procedural_coverage_median,literal_fraction_median
development,development-pilot-v4-stable,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,1bd3a8a1a914bf55087f30b641adcacaac8d04f2cc5a9c21f3668bf2f6727da6,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,b5b163eb273291934556377ab883b4b2a5d4da50bd0dc0a91774ecc234ccd8d0,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,xz-9e,xz-9e,,1,false,__aggregate__,corpus,10114825,100,100,0,0,0,10,complete,true,true,4606124,0.45538345942712799,2.1959515201935509,8967228185.5,8680000000,0.97180789350016528,629034354,490000000,0.7761703812298868,1.1280873943966694,16.079927686872004,145930240,145930240,10272768,not-applicable,,,,,,,,,,
development,development-pilot-v4-stable,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,56c1b7390551d55bb056da7122b41ac3f7e4459570e4627ac278f7c91d669491,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,lz4,lz4,,1,false,dev-canterbury-alice29-txt,file,152089,10,10,0,0,0,10,complete,true,true,88718,0.58332949785980581,1.7142969859554995,9018506.5,0,0,8852459.5,0,0,16.864119877280892,17.180566751534499,1861632,1740800,1861632,not-applicable,,,,,,,,,,
development,development-pilot-v4-stable,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,56c1b7390551d55bb056da7122b41ac3f7e4459570e4627ac278f7c91d669491,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,lz4,lz4,,1,false,dev-canterbury-kennedy-xls,file,1029744,10,10,0,0,0,10,complete,true,true,374723,0.36389918270948896,2.7480138662425313,17069012.5,0,0,17018721,0,0,60.328299274660708,60.506961456347781,3041280,2895872,3041280,not-applicable,,,,,,,,,,
development,development-pilot-v4-stable,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,56c1b7390551d55bb056da7122b41ac3f7e4459570e4627ac278f7c91d669491,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,lz4,lz4,,1,false,dev-silesia-x-ray,file,8474240,10,10,0,0,0,10,complete,true,true,8406634,0.99202217543992144,1.0080419820822459,65660682.5,30000000,0.45654065243645903,65845370,20000000,0.30429584127801829,129.06110136812794,128.70051777692595,9998336,9830400,9998336,not-applicable,,,,,,,,,,
development,development-pilot-v4-stable,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,56c1b7390551d55bb056da7122b41ac3f7e4459570e4627ac278f7c91d669491,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,lz4,lz4,,1,false,dev-synthetic-constant-00,file,65536,10,10,0,0,0,10,complete,true,true,286,0.004364013671875,229.14685314685315,8949135.5,0,0,8774255,0,0,7.323169870866165,7.4692266414924635,1740800,1740800,1740800,not-applicable,,,,,,,,,,
development,development-pilot-v4-stable,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,56c1b7390551d55bb056da7122b41ac3f7e4459570e4627ac278f7c91d669491,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,lz4,lz4,,1,false,dev-synthetic-lfsr8,file,65536,10,10,0,0,0,10,complete,true,true,540,0.00823974609375,121.36296296296297,8930722.5,0,0,8684882,0,0,7.3382758647939808,7.5459877655546048,1740800,1740800,1740800,not-applicable,,,,,,,,,,
development,development-pilot-v4-stable,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,56c1b7390551d55bb056da7122b41ac3f7e4459570e4627ac278f7c91d669491,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,lz4,lz4,,1,false,dev-synthetic-linear,file,65536,10,10,0,0,0,10,complete,true,true,541,0.0082550048828125,121.13863216266174,8875932,0,0,8773101,0,0,7.3836087858816359,7.4705184491228662,1740800,1740800,1740800,not-applicable,,,,,,,,,,
development,development-pilot-v4-stable,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,56c1b7390551d55bb056da7122b41ac3f7e4459570e4627ac278f7c91d669491,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,lz4,lz4,,1,false,dev-synthetic-periodic,file,65536,10,10,0,0,0,10,complete,true,true,292,0.00445556640625,224.43835616438355,8817047.5,0,0,8788497,0,0,7.4328872666752579,7.4574650301798107,1740800,1740800,1740800,not-applicable,,,,,,,,,,
development,development-pilot-v4-stable,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,56c1b7390551d55bb056da7122b41ac3f7e4459570e4627ac278f7c91d669491,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,lz4,lz4,,1,false,dev-synthetic-piecewise-mixed,file,65536,10,10,0,0,0,10,complete,true,true,13134,0.200408935546875,4.9897974722095322,8961352,0,0,8757352,0,0,7.3132412892776664,7.4836859671029039,1740800,1740800,1740800,not-applicable,,,,,,,,,,
development,development-pilot-v4-stable,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,56c1b7390551d55bb056da7122b41ac3f7e4459570e4627ac278f7c91d669491,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,lz4,lz4,,1,false,dev-synthetic-polynomial-d2,file,65536,10,10,0,0,0,10,complete,true,true,541,0.0082550048828125,121.13863216266174,8753957.5,0,0,8845977,0,0,7.4865084014282637,7.4085852149961404,1740800,1740800,1740800,not-applicable,,,,,,,,,,
